Aztech,Aztech,Buton,Buton,Gama,Gama,Gjirafa,Gjirafa,Gorenje,Gorenje,Interplast,Interplast,Neptun,Neptun
" Philips 65Pus6412/12 | 65"" Led Uhd 4K Smart Tv Android Ambilight","€ 1,499.00","HISENSE 39"" H39A5600 Smart LED Full HD digital LCD TV",199,Samsung QE49Q60RATXXH,879 €," TCL 50DP600 50"" (127cm), 4K UHD, zi",383.52,"55"" 55A7500F Smart 4K Ultra HD",639.90 €,UE55TU7172 – 4K SMART TV,€ 799.99,LG 43UN70003LA,329
" Toshiba 65Ua2063Dg | 65"" Led Uhd 4K Smart Tv Android",€ 599.00,"HISENSE 43"" H43A6500 Smart LED 4K Ultra HD LCD TV",289,Samsung QE49Q65RATXXH,879 €," Samsung Q65R, 65"" (165cm), 4K UHD, i argjendtë","1,259.55","55"" 55U7QF ULED Smart UHD TV",699.90 €,65FUC 8060 – Smart TV 4K,€ 749.99,SAMSUNG UE43TU7022KXXH,399
" Toshiba 43T6863Dg | 43"" Led Uhd 4K Smart Tv Linux",€ 379.90,"HISENSE 55"" H55A6100 Smart LED 4K Ultra HD digital LCD TV",369,Samsung QE55Q60RATXXH,999 €," Sony KD-65XG8596 - 65"" (164cm), 4K UHD, i zi/argjendtë","1,284.00","55"" H55B7100 Smart 4K Ultra HD",379.90 €,49FFC 5500 – Smart TV,€ 339.99,FUEGO 55ELU610ANDT,349
" Toshiba 49V6863Dg | 49"" Led Uhd 4K Smart Tv Linux",€ 499.90,"HISENSE 40"" H40B5600 Smart LED Full HD digital LCD TV",199,Samsung QE55Q65RATXXH,999 €,"Televizion Sony KD-55XG8505, 55"" (139cm), 4K UHD, 16 GB","1,026.01","55"" H55B7500 Brilliant Smart 4K Ultra HD",529.90 €,32FHB-5500 – Smart TV,€ 239.99,GRUNGIG 50GEU7800B,399
" Hisense H43A6140 | 43"" Led Uhd 4K Smart Tv Vidaa",€ 379.90,,,Samsung QE55Q70RATXXH,"1,339 €"," Panasonic TX-40FS503E, 40"" (100cm), Full HD, i zi / argjendtë",476.64,"55"" H55U7B ULED Smart 4K UHD",649.90 €,LG-55UK6300MLB- TV,€ 579.99,LG 43UN71003LB,339
" Hisense H55N6600 | 55"" Led Uhd 4K Smart Tv Vidaa Curved",€ 729.90,,,Samsung QE55Q80RATXXH,"1,649 €","Televizior Orava LT-835, 32 "" (81cm), HD, i zi",207.46,"55A7300F 55"" Smart UHD TV G",599.90 €,UE43RU7092UXXH- TV,€ 429.99,GRUNGIG 50GEU7900B,329
" Hisense H55B7100 | 55"" Led Uhd 4K Smart Tv Vidaa",€ 499.90,,,Samsung QE55Q90RATXXH,"2,099 €", LG 49NANO86 - 49” (123cm),780.96,"58"" 58A7100F Smart LED 4K Ultra HD",599.90 €,UE55RU7092UXXH – TV,€ 649.99,SAMSUNG UE43TU7102KXXH,429
" Hugo 02-43Smart | 43"" Led Full Hd Smart Tv Android",€ 299.90,,,Samsung QE65Q65RATXXH,"1,499 €", Vivax Imago LED TV-50UHD122T2S2SM,299.25,65'' 65U7QF ULED Premium Ultra HD TV G,"1,199.90 €",EC55T2 – TV 55″,€ 399.99,LG 43UN73003LC,449
" Philips 50Pus7555/12 | 50"" Led Uhd 4K Smart Tv Saphi",€ 499.90,,,Samsung QE65Q70RATXXH,"1,879 €"," Samsung QE43LS01T, 43"" (108cm), 4K UHD, i zi","1,091.81",65'' H65A7500F Smart UHD TV G,949.90 €,EC55T2 – SMART TV 55″,€ 439.00,LG 43UN74003LB,399
" Philips 65Pus7855/12 | 65"" Led Uhd 4K Smart Tv Saphi Ambilight",€ 699.00,,,Samsung QE65Q950RBTXXH,"4,199 €", LG 49NANO80 - 49” (123 cm),681.5,"65"" H65A7100F Smart LED 4K Ultra HD digital TV G",589.90 €,EC50T2 – SMART TV 50″,€ 339.00,LG 50UN70003LA,389
" Vivax Tv-32Le78T2G | 32"" Led Hd",€ 169.90,,,Samsung QE75Q60RATXXH,"2,299 €","Televizior Panasonic TX-55HZ2000E, 55"" (139cm), 4K UHD, i zi","2,733.60",,,EC43T2 – SMART TV 43″,€ 269.00,LG 49UN71003LB,399
" Vivax Tv-49S60T2S2Sm | 49"" Led Full Hd Smart Tv Android",€ 379.90,,,Samsung QE75Q70RATXXH,"3,099 €"," TCL 50P610 - 50” (126 cm), 4K UHD, i zi",457.5,,,EC39T2 – SMART TV 39″,€ 269.99,LG 49UM7390PLC,379
" Vivax Tv-43S60T2S2Sm | 43"" Led Full Hd Smart Tv Android",€ 299.90,,,Samsung SWA-8500S/EN,110 €," LG OLED55BX - 55"" (139cm), 4K UHD, i zi","1,147.68",,,EC32T2 – TV 32″,€ 159.00,SAMSUNG UE50TU7022KXXH,409
" Vivax Tv-40S60T2S2Sm | 40"" Led Full Hd Smart Tv Android",€ 299.90,,,Samsung UE43RU7172UXXH,439 €,"Televizior Sencor SLE 42F16TCS - 42 "" (107cm)",276.68,,,65DKST2 – SMART TV 65″,€ 899.00,SAMSUNG UE50TU7072UXXH,419
" Vivax Tv-40Le78T2S2M | 40"" Led Full Hd Smart Tv Android",€ 299.90,,,Samsung UE50RU7172UXXH,489 €, Sony KD-75XG8096 - 189cm,"1,486.28",,,LED TV 65″ – SMART TV – ARIELLI,"€ 1,199.00",SAMSUNG UE50TU7172UXXH,499
" Vivax Tv-65Uhd120T2S2 | 65"" Led Uhd 4K",€ 729.90,,,Samsung UE50RU7452UXXH,619 €," Orava LT-1235, 50"" (128cm), 4K UHD, i zi",432.73,,,LED TV 50″ – SMART TV – ARIELLI,€ 499.00,SAMSUNG UE50TU7092UXXH,419
" Vivax Tv-55Uhd121T2S2Sm_Eu | 55"" Led Uhd 4K Smart Tv Android",€ 549.90,,,Samsung UE55RU7172UXXH,569 €," LG 43NANO79 - 43"" (108cm), 4K UHD, i zi",546.6,,,LED TV 32″ – SMART TV – ARIELLI,€ 199.00,LG 49UN73003LA,519
" Vivax Tv-32Le79T2 | 32"" Led Hd",€ 149.90,,,Samsung UE55RU7372UXXH,639 €,"Televizior Sony KD-65XG7077, 65 "" (164cm), 4K UHD, i argjendtë",876.5,,,,,GRUNDIG 55GEU7900W,399
" Philips 65Pus8535/12 | 65"" Led Uhd 4K Smart Tv Anrdoid Ambilight",€ 899.00,,,Samsung UE55RU7452UXXH,709 €, LG 65UN7300 - 65” (164 cm),668.64,,,,,GRUNDIG 55GEU7900B,399
" Philips 43Pus7855/12 | 43"" Led Uhd 4K Smart Tv Saphi Ambilight",€ 429.90,,,Samsung UE55RU8002UXXH,869 €," Sony KD-65AG9, 65"" (164cm), 4K UHD, i zi/argjendtë","3,254.50",,,,,LG 49UN74003LB,449
" Philips 58Pus8505/12 | 58"" Led Uhd 4K Smart Tv Android Ambilight",€ 649.00,,,Samsung UE65RU7172UXXH,839 €," Panasonic TX-55HZ1000E, 55"" (139cm), 4K UHD, i zi","1,940.38",,,,,FUEGO 65ELU610ANDT,549
" Samsung Ue55Tu7022Kxxh | 55"" Led Uhd 4K Smart Tv Tizen",€ 449.00,,,Samsung UE65RU7372UXXH,959 €," Panasonic TX-65HZ1500E, 65"" (164cm), 4K UHD, i zi","2,950.56",,,,,GRUNDIG 55GEU8900B,439
" Samsung Ue55Tu8072Uxxh | 55"" Led Uhd 4K Smart Tv Tizen",€ 599.00,,,Samsung UE65RU8002UXXH,"1,249 €", LG 49UN7300 - 49” (123cm),507.36,,,,,LG 55UN70003LA,459
" Philips 50Pus8505/12 | 50"" Led Uhd 4K Smart Tv Android Ambilight",€ 549.00,,,Samsung UE75RU7172UXXH,"1,359 €", LG 75UN8500 - 75” (190 cm),"1,289.76",,,,,SAMSUNG UE55TU7022KXXH,479
" Samsung Ue75Tu8072Uxxh | 75"" Led Uhd 4K Smart Tv Tizen","€ 1,299.00",,,,, Philips 32PHS5505 - 80cm,228.62,,,,,SAMSUNG UE55TU7092UXXH,589
" Samsung Ue43Tu7072Uxxh | 43"" Led Uhd 4K Smart Tv Tizen",€ 419.00,,,,," Samsung QE75Q95T, 75"" (189cm), 4K UHD, i argjendtë","3,584.16",,,,,LG 55UN71003LB,469
" Samsung Ue75Tu7172Uxxh | 75"" Led Uhd 4K Smart Tv Tizen","€ 1,199.00",,,,," Hitachi 32HE2100, 32 "" (81cm), HD, i zi",249.26,,,,,LG 50UN80003LC,489
" Samsung Ue75Tu7022Kxxh | 75"" Led Uhd 4K Smart Tv Tizen","€ 1,099.00",,,,," LG 43UN7390, 43"" (108cm), 4K UHD, i zi",494.55,,,,,SAMSUNG UE55TU7102KXXH,629
" Philips 58Pus7505/12 | 58"" Led Uhd 4K Smart Tv Saphi",€ 649.90,,,,," Sencor SLE 32S601TCS, 32"" (80cm), HD, i zi",260.57,,,,,SAMSUNG UE55TU8072UXXH,549
" Samsung Ue65Tu8072Uxxh | 65"" Led Uhd 4K Smart Tv Tizen",€ 799.00,,,,," Panasonic TX-75HX940E, 75"" (189cm), 4K UHD, i zi","2,322.72",,,,,LG 55UN73003LA,519
" Samsung Ue43Tu7022Kxxh | 43"" Led Uhd 4K Smart Tv Tizen",€ 349.00,,,,," Sony KD-75XG9505 - 75"" (189cm), 4K UHD, zezë/argjendtë","2,632.50",,,,,SAMSUNG UE50RU7412UXXH,479
" Philips 43Pus7505/12 | 43"" Led Uhd 4K Smart Tv Saphi",€ 449.00,,,,," Sony KD-65AG8 65"" - 164cm","2,758.50",,,,,SONY KD49XG7096BAEP,569
" Philips 43Pus7555/12 | 43"" Led Uhd 4K Smart Tv Saphi",€ 449.00,,,,," GoGEN TVF 43P452T - 43""",278.71,,,,,SAMSUNG UE50TU8502UXXH,659
" Toshiba 65Ul4B63Dg | 65"" Led Uhd 4K Smart Tv Linux",€ 799.00,,,,," Panasonic TX-43HX940E, 43"" (108cm), 4K UHD, i zi",895.2,,,,,LG 55UN74003LB,679
" Toshiba 55Ul6B63Dg | 55"" Led Uhd 4K Smart Tv Linux",€ 599.00,,,,," Sony KD-49XH8077, 49"" (123cm), 4K UHD, i argjendtë",838.01,,,,,SAMSUNG UE55RU7372UXXH,569
" Philips 43Pus8505/12 | 43"" Led Uhd 4K Smart Tv Android Ambilight",€ 599.00,,,,," Sony KD-65XH8096, 65"" (164cm), 4K UHD, i zi","1,082.40",,,,,SONY KD49XG8096BAEP,619
" Samsung Ue43Ru7172Uxxh | 43"" Led Uhd 4K Smart Tv Tizen",€ 439.00,,,,, Philips 55OLED935 - 139cm,"2,221.50",,,,,GRUNDIG 65GDU7500B,559
" Samsung Ue75Tu7002Kxxh | 75"" Led Uhd 4K Smart Tv Tizen","€ 1,299.00",,,,," TCL 40ES560, 40"" (100cm), Full HD, i zi",361.5,,,,,LG 55UN80003LA,699
" Samsung Ue55Tu7172Uxxh | 55"" Led Uhd 4K Smart Tv Tizen",€ 549.00,,,,,,,,,,,LG 49SM8050PLC,559
" Samsung Ue70Tu7172Uxxh | 70"" Led Uhd 4K Smart Tv Tizen","€ 1,069.00",,,,,,,,,,,LG 60UN71003LB,549
" Philips 43Pfs5823/12 | 43"" Led Full Hd Smart Tv Saphi",€ 379.90,,,,,,,,,,,LG 60UM7100PLB,549
" Philips 43Pus6754/12 | 43"" Led Uhd 4K Smart Tv Saphi Ambilight",€ 499.90,,,,,,,,,,,LG 65UM7100PLA,599
" Toshiba 43Ua2063Dg | 43"" Led Uhd 4K Smart Tv Android",€ 399.90,,,,,,,,,,,SAMSUNG UE55RU7452UXXH,649
" Toshiba 58Ua2063Dg | 58"" Led Uhd 4K Smart Tv Android",€ 349.00,,,,,,,,,,,GRUNDIG 65GEU7900B,579
" Toshiba 55V6863Dg | 55"" Led Uhd 4K Smart Tv Linux",€ 599.90,,,,,,,,,,,LG 55SM8500PLA,679
" Toshiba 43L3863Dg | 43"" Led Full Hd Smart Tv Linux",€ 349.90,,,,,,,,,,,LG 65UN70003LA,669
" Hisense H58A6100 | 58"" Led Uhd 4K Smart Tv Vidaa",€ 599.90,,,,,,,,,,,SAMSUNG UE55TU8502UXXH,649
" Hisense H40B5100 | 40"" Led Full Hd",€ 279.90,,,,,,,,,,,SAMSUNG UE65TU7092UXXH,679
" Hisense H43B7500 | 43"" Led Uhd 4K Smart Tv Vidaa",€ 429.90,,,,,,,,,,,SAMSUNG UE65TU7172UXXH,819
" Philips 58Pus7855/12 | 58"" Led Uhd 4K Smart Tv Saphi Ambilight",€ 699.90,,,,,,,,,,,SONY KD49XH8096BAEP,729
" Hugo 02-49Smart | 49"" Led Full Hd Smart Tv Android",€ 349.90,,,,,,,,,,,LG 65UM7400PLB,729
" Lg 55Um7100Plb | 55"" Led Uhd 4K Smart Tv Webos",€ 679.90,,,,,,,,,,,LG 55SM8050PLC,699
" Lg 55Uk6200Pla | 55"" Led Uhd 4K Smart Tv Webos",€ 599.90,,,,,,,,,,,LG 55NANO793NE,699
" Vivax Tv-49Le78T2S2Sm | 49"" Led Full Hd Smart Tv Android",€ 399.90,,,,,,,,,,,LG 65UN71003LB,679
" Vivax Tv-55Uhd120T2S2 Eu | 55"" Led Uhd 4K",€ 469.00,,,,,,,,,,,SAMSUNG UE65TU8072UXXH,899
" Toshiba 49U2963Dg | 49"" Led Uhd 4K Smart Tv Linux",€ 399.90,,,,,,,,,,,SONY KD55XH8077SAEP,749
" Samsung Ue43Tu7002Kxxh | 43"" Led Uhd 4K Smart Tv Tizen",€ 429.00,,,,,,,,,,,SONY KD55XH8096BAEP,699
" Hugo 02-49Smart Uhd | 49"" Led Uhd 4K Smart Tv Android",€ 269.00,,,,,,,,,,,SAMSUNG UE70TU7022KXXH,949
" Samsung Qe65Q80Tatxxh | 65"" Qled Uhd 4K Smart Tv Tizen","€ 1,999.00",,,,,,,,,,,SAMSUNG UE70TU7092UXXH,969
" Philips 50Pus7855/12 | 50"" Led Uhd 4K Smart Tv Saphi Ambilight",€ 599.90,,,,,,,,,,,LG 55NANO813NA,819
" Toshiba 49Ua2063Dg | 49"" Led Uhd 4K Smart Tv Android",€ 399.90,,,,,,,,,,,LG 65UN74003LB,799
" Toshiba 43La2B63Dg | 43"" Led Full Hd Smart Tv Android",€ 329.00,,,,,,,,,,,LG 65UN80003LA,849
" Philips 75Pus7354/12 | 75"" Led Uhd 4K Smart Tv Anrdoid Ambilight",€ 999.00,,,,,,,,,,,LG 70UN71003LA,849
" Samsung Ue43Tu7172Uxxh | 43"" Led Uhd 4K Smart Tv Tizen",€ 439.90,,,,,,,,,,,SAMSUNG UE65TU8502UXXH,999
" Samsung Ue65Tu7022Kxxh | 65"" Led Uhd 4K Smart Tv Tizen",€ 729.00,,,,,,,,,,,SONY KD65XG8096BAEP,899
" Samsung Ue50Tu7022Kxxh | 50"" Led Uhd 4K Smart Tv Tizen",€ 399.00,,,,,,,,,,,LG 70UN74003LA,899
" Toshiba 55Ua2063Dg | 55"" Led Uhd 4K Smart Tv Android",€ 599.90,,,,,,,,,,,SONY KD55XF9005BAEP,949
 Sunny 07/19 | 32'' Led Hd,€ 129.00,,,,,,,,,,,LG 55NANO863NA,949
" Philips 50Pus7505/12 | 50"" Led Uhd 4K Smart Tv Saphi",€ 499.90,,,,,,,,,,,SONY KD55XH9096BAEP,899
" Philips 32Ph6605/12 | 32"" Led Hd Smart Tv Saphi",€ 249.00,,,,,,,,,,,SONY KD55XH9077SAEP,1.149
" Samsung Qe55Q65Tauxxh | 55"" Qled Uhd 4K Smart Tv Tizen",€ 899.00,,,,,,,,,,,SONY KD65XH8077SAEP,999
" Samsung Qe65Q800Tatxxh | 65"" Qled 8K Smart Tv Tizen","€ 3,999.00",,,,,,,,,,,SONY KD65XH8096BAEP,1.199
" Samsung Qe65Q65Tauxxh | 65"" Qled Uhd 4K Smart Tv Tizen","€ 1,099.00",,,,,,,,,,,SAMSUNG UE75TU7022KXXH,1.249
" Philips 65Oled934/12 | 65"" Oled+ Uhd 4K Smart Tv Android Ambilight","€ 4,999.00",,,,,,,,,,,LG 65NANO793NE,1.049
" Samsung Qe65Q75Tatxxh | 65"" Qled Uhd 4K Smart Tv Tizen","€ 1,599.00",,,,,,,,,,,TV LED SAMSUNG UE75TU7092UXXH,1.299
" Samsung Qe65Q70Tatxxh | 65"" Qled Uhd 4K Smart Tv Tizen","€ 1,599.00",,,,,,,,,,,LG 75UN71003LC,1.079
,,,,,,,,,,,,SAMSUNG UE75TU7172UXXH,1.399
,,,,,,,,,,,,SONY KD55XH9505BAEP,1.399
,,,,,,,,,,,,SONY KD65XH9096BAEP,1.299
,,,,,,,,,,,,SONY KD75XH8096BAEP,1.699
,,,,,,,,,,,,SONY KD65XH9505BAEP,1.799
,,,,,,,,,,,,SONY KD65XG9505BAEP,1.799
,,,,,,,,,,,,SONY KD85XH8096BAEP,2.199
,,,,,,,,,,,,SONY KD75ZH8BAEP,2.999
,,,,,,,,,,,,SAMSUNG QE55Q60TAUXXH,799
,,,,,,,,,,,,SAMSUNG QE55Q75TATXXH,919
,,,,,,,,,,,,SAMSUNG QE58Q60TAUXXH,899
,,,,,,,,,,,,SAMSUNG QE55Q70TATXXH,919
,,,,,,,,,,,,SAMSUNG QE65Q60TAUXXH,1.179
,,,,,,,,,,,,SAMSUNG QE65Q65TAUXXH,1.179
,,,,,,,,,,,,LG 55C9PLA,1.399
,,,,,,,,,,,,LG 55BX3LB,1.299
,,,,,,,,,,,,SAMSUNG QE65Q75TATXXH,1.649
,,,,,,,,,,,,LG 55CX3LA,1.499
,,,,,,,,,,,,SAMSUNG QE55Q90RATXXH,1.499
,,,,,,,,,,,,SONY KD55A8BAEP,1.699
,,,,,,,,,,,,SAMSUNG QE75Q60TAUXXH,2.149
,,,,,,,,,,,,SAMSUNG QE75Q70TATXXH,2.499
,,,,,,,,,,,,SAMSUNG QE75Q75TATXXH,2.499
,,,,,,,,,,,,LG 65CX3LA,2.299
,,,,,,,,,,,,SAMSUNG QE65Q95TATXXH,2.149
,,,,,,,,,,,,SAMSUNG QE65Q700TATXXH,2.149
,,,,,,,,,,,,SONY KD65A8BAEP,2.999
,,,,,,,,,,,,SAMSUNG QE65Q950RBTXXH,3.699
,,,,,,,,,,,,SAMSUNG QE65Q950TSTXXH,4.499
,,,,,,,,,,,,LG 77CX3LA,5.499
